Gamma0.5,Gamma0.6,Gamma0.7,Gamma0.8,Gamma0.9,z0_parent_id
1.67443166932,1.63907109355,1.58731430698,1.53182041906,1.06384576017,1
2.44967968433,1.36835032219,1.38008546373,1.32326975253,1.69311420749,2
2.25097149447,1.65005635669,1.5034087873,1.57314011168,1.27343238176,3
2.05059607764,2.26319636491,2.39224265571,0.514713208211,0.185592841008,4
3.28586404416,3.70724339026,4.22318073986,5.11683621101,4.32733539403,5
1.45465835067,0.674639633481,0.931546675656,1.05663492562,1.05411257949,6
4.03784429868,1.98364498539,2.4075667578,3.74847612117,4.69819804831,7
2.38419267592,2.68644685974,3.87464810854,5.48678513693,6.96784106167,8
3.11848532597,2.03952928033,1.86336002172,1.79771566611,1.44618021645,9
2.69962323824,2.73469472085,3.05555042528,4.12585498305,1.2278245166,10
3.26867947161,3.75493497149,4.41590701909,4.6377770619,2.93245081717,11
1.97082310636,1.96364038288,1.91528451758,2.44857653738,1.51879086226,13
1.22994972936,1.0678014525,1.09813670666,1.29908644884,1.3391732369,14
2.04513361033,2.60797755962,1.60057507049,1.51851991455,2.56202177081,15
2.6180622229,1.5071699885,0.959185558496,0.936811377736,1.62399638564,16
2.0146058758,1.77392415281,2.27021262303,2.93364804374,1.34725106568,17
2.09452972696,2.19679053786,1.78960918186,1.25497575653,1.37500128555,19
1.67157043338,0.94321030855,0.785682370844,0.471292826366,0.356766781041,21
2.92030641931,3.20230547647,3.75119883782,3.93109843263,1.4518447094,23
3.37294942412,3.19293454772,0.903733919469,0.408573175923,0.844888887342,25
2.80382044339,1.56158421167,1.53545213458,1.62757052555,2.26073092177,26
1.45780404183,1.24013793922,1.27034070555,0.843229717085,0.813275860007,27
1.80536637724,1.27271847469,1.69877627383,1.49021648301,1.39693264085,29
3.09982395944,2.84033287949,2.09315306489,2.67256514133,0.831582104956,31
2.40701526834,2.18098114214,0.973358179803,0.967637471344,1.27960536621,32
3.3419199077,2.34340274146,2.20805742641,1.89625956919,1.26513784437,33
2.75548983574,2.56203611332,2.82153161676,1.37906342428,0.63110773814,34
2.82828012892,2.85108601812,2.88652181919,3.51786204815,2.81396531741,35
1.41710460798,1.32695154408,1.18684995898,0.821762005039,0.664711125906,39
1.78876236243,1.25513894245,0.433569201079,0.419197502784,0.74766345096,42
1.46961570628,1.1998499664,0.979536725783,0.808175574608,0.978623322587,44
3.62038777677,3.88112160521,3.33987043883,3.56347383386,5.82913678465,45
2.09626592467,2.09411969503,2.32839361425,2.61998615528,1.1101116368,49
2.25924312246,2.26728220204,2.48874309611,1.95974905493,2.53359475179,50
2.39060738302,2.90845615737,1.82088593454,1.02230411895,0.574805567354,53
1.64463111721,0.945757534441,1.00731459069,0.994664078416,0.804757608656,54
2.22446652414,1.684156814,1.82226927029,2.73350631205,2.23698707066,55
2.34297517414,2.52986527385,3.28073461293,4.39642576846,3.75177677027,59
2.20744343798,2.82473156367,3.94719628848,3.56014509724,0.899579174605,61
1.66445726255,1.60250011108,1.96218563484,1.48296531814,0.793658112211,63
2.17931577161,1.82490024605,1.7193721367,1.80201375375,1.05879024101,65
3.59762190419,4.24416934985,4.2228551912,4.37814374206,2.9885899439,66
2.94264394439,2.39038823531,2.32376440826,2.46613320765,1.34698137366,68
3.18451383601,1.80519665279,1.0113795069,0.934566007416,0.431997958068,69
1.95070232468,2.11765096379,2.13932267453,1.59914286561,1.70835574507,71
2.91366743304,2.32079731602,2.71345396859,3.12594437535,1.66374456543,73
2.37149689496,2.61484073331,3.07224222601,2.26047181892,1.34165961131,77
2.2603465598,2.50075555915,2.51956045395,2.64944684969,1.31708170673,78
3.78896367589,3.17788625826,2.98066638436,3.04044742781,2.12307798567,79
2.50665873025,2.8568766238,3.23032034717,4.48254385096,4.32271908066,80
2.07228034633,2.50667818522,2.93698841342,3.2804730956,2.23711740731,81
1.66258648884,1.79957704471,2.31944180462,1.60160931442,1.84635796426,82
2.68895077138,2.25050911158,1.81638916068,1.24686699227,0.536668797526,83
1.75187784338,0.993055933666,0.715929529168,0.952295161799,1.56889311436,85
2.65744314072,1.57420316951,1.50455821832,1.53995883021,1.22567404665,86
2.00464430406,1.45737097356,2.11199555139,2.03715577658,1.84915203817,88
3.46761671923,4.31318862639,3.88979262805,5.29852100777,1.72177623245,91
2.849219245,3.2989472603,2.43462605934,0.69798817274,0.0412439796193,96
2.86592261037,3.18213613528,3.34882867028,3.04479409692,2.08141037024,98
2.08727075616,2.5196606311,3.17490539578,4.22465534726,5.94339776734,100
1.49497346991,1.38428904881,1.66066835051,1.70612291138,2.0371358594,104
2.59109572848,1.83167482209,1.40624918104,1.93762684528,1.21902453843,106
2.64848262359,2.66869653824,3.33555283128,2.37243693568,2.11334650951,108
