1:10 after a=0.5,1:10 after a=0.6,1:10 after a=0.7,1:10 after a=0.8,1:10 after a=0.9,1:2 after a=0.5,1:2 after a=0.6,1:2 after a=0.7,1:2 after a=0.8,1:2 after a=0.9,1:3 after a=0.5,1:3 after a=0.6,1:3 after a=0.7,1:3 after a=0.8,1:3 after a=0.9,1:5 after a=0.5,1:5 after a=0.6,1:5 after a=0.7,1:5 after a=0.8,1:5 after a=0.9,1:6 after a=0.5,1:6 after a=0.6,1:6 after a=0.7,1:6 after a=0.8,1:6 after a=0.9,z0_parent_id
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0
True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,2.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,3.0
True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,4.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,5.0
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,6.0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7.0
True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,8.0
True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,9.0
True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,10.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11.0
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,13.0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.0
True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,15.0
True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,16.0
True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17.0
True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,19.0
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,21.0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23.0
True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,25.0
True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,26.0
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,27.0
True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,29.0
True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,31.0
True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,32.0
